fdc_id,description,food_category_id
321358,"Hummus, Commercial",16.0
321359,"Milk, Reduced fat, Fluid, 2% milkfat, With added vitamin a and vitamin d",1.0
321360,"Tomatoes, Grape, Raw",11.0
321505,"Salt, Table, Iodized",2.0
321611,"Beans, Snap, Green, Canned, Regular pack, Drained solids",11.0
321900,"Broccoli, Raw",11.0
322228,"Milk, Lowfat, Fluid, 1% milkfat, With added vitamin a and vitamin d",1.0
322559,"Milk, Nonfat, Fluid, With added vitamin a and vitamin d (fat free or skim)",1.0
322892,"Milk, Whole, 3. 25% milkfat, With added vitamin d",1.0
323121,"Frankfurter, Beef, Unheated",7.0
323294,"Nuts, Almonds, Dry roasted, With salt added",12.0
323444,"Cheese, Ricotta, Whole milk",1.0
323505,"Kale, Raw",11.0
323604,"Egg, Whole, Raw, Frozen, Pasteurized",1.0
323697,"Egg, White, Raw, Frozen, Pasteurized",1.0
323793,"Egg, White, Dried",1.0
324038,"Sauce, Salsa, Ready-to-serve",6.0
324157,"Sausage, Breakfast sausage, Beef, Pre-cooked, Unprepared",7.0
324317,"Onion rings, Breaded, Par fried, Frozen, Prepared, Heated in oven",11.0
324653,"Pickles, Cucumber, Dill or kosher dill",11.0
324860,"Peanut butter, Smooth style, With salt",16.0
325036,"Cheese, Parmesan, Grated",1.0
325198,"Cheese, Pasteurized process, American, Vitamin d fortified",1.0
325287,"Grapefruit juice, White, Canned or bottled, Unsweetened",9.0
325430,"Peaches, Yellow, Raw",9.0
325524,"Seeds, Sunflower seed kernels, Dry roasted, With salt added",12.0
325658,"Sausage, Italian, Pork, Mild, Cooked, Pan-fried",7.0
325871,"Bread, White, Commercially prepared",18.0
325992,"Sausage, Turkey, Breakfast links, Mild, Raw",7.0
326135,"Cheese, Swiss",1.0
326196,"Kale, Frozen, Cooked, Boiled, Drained, Without salt",11.0
326458,"Carrots, Frozen, Unprepared (includes foods for usda's food distribution program)",11.0
326698,"Mustard, Prepared, Yellow",2.0
326905,"Figs, Dried, Uncooked",9.0
327046,"Kiwifruit, Green, Raw",9.0
327198,"Melons, Cantaloupe, Raw",9.0
327357,"Nectarines, Raw",9.0
327501,"Oranges, Raw, Navels (includes foods for usda's food distribution program)",9.0
327699,"Strawberries, Raw",9.0
327923,"Lettuce, Cos or romaine, Raw",11.0
328637,"Cheese, Cheddar",1.0
328841,"Cheese, Cottage, Lowfat, 2% milkfat",1.0
329370,"Cheese, Mozzarella, Low moisture, Part-skim",1.0
329490,"Egg, Whole, Dried",1.0
329596,"Egg, Yolk, Raw, Frozen, Pasteurized",1.0
329716,"Egg, Yolk, Dried",1.0
329830,"Cheese, Dry white, Queso seco",1.0
330137,"Yogurt, Greek, Plain, Nonfat",1.0
330415,"Yogurt, Greek, Strawberry, Nonfat",1.0
330458,"Oil, Coconut",4.0
330869,"Turkey, Ground, 93% lean, 7% fat, Pan-broiled crumbles",5.0
331897,"Chicken, Broilers or fryers, Drumstick, Meat only, Cooked, Braised",5.0
331960,"Chicken, Broiler or fryers, Breast, Skinless, Boneless, Meat only, Cooked, Braised",5.0
332282,"Sauce, Pasta, Spaghetti/marinara, Ready-to-serve",6.0
332397,"Ham, Sliced, Pre-packaged, Deli meat (96%fat free, Water added)",7.0
332597,"Pears, Raw, Bartlett (includes foods for usda's food distribution program)",9.0
332791,"Olives, Green, Manzanilla, Stuffed with pimiento",9.0
332864,"Sausage, Pork, Chorizo, Link or ground, Cooked, Pan-fried",7.0
333008,"Cookies, Oatmeal, Soft, With raisins",18.0
333281,"Tomatoes, Canned, Red, Ripe, Diced",11.0
333374,"Fish, Haddock, Raw",15.0
333476,"Fish, Pollock, Raw",15.0
334194,"Fish, Tuna, Light, Canned in water, Drained solids",15.0
334247,"Sugars, Granulated",19.0
334462,"Restaurant, Chinese, Sweet and sour pork",25.0
334536,"Restaurant, Chinese, Fried rice, Without meat",25.0
334628,"Restaurant, Latino, Tamale, Pork",25.0
334720,"Restaurant, Latino, Pupusas con frijoles (pupusas, Bean)",25.0
334849,"Beef, Loin, Top loin steak, Boneless, Lip-on, Separable lean only, Trimmed to 1/8"" fat, Choice, Raw",13.0
334897,"Beef, Loin, Tenderloin roast, Separable lean only, Boneless, Trimmed to 0"" fat, Select, Cooked, Roasted",13.0
334898,"Beef, Round, Eye of round roast, Boneless, Separable lean only, Trimmed to 0"" fat, Select, Raw",13.0
334963,"Beef, Round, Top round roast, Boneless, Separable lean only, Trimmed to 0"" fat, Select, Raw",13.0
335061,"Beef, Short loin, T-bone steak, Bone-in, Separable lean only, Trimmed to 1/8"" fat, Choice, Cooked, Grilled",13.0
335109,"Beef, Short loin, Porterhouse steak, Separable lean only, Trimmed to 1/8"" fat, Select, Raw",13.0
335240,"Bread, Whole-wheat, Commercially prepared",18.0
335245,"Beans, Dry, Dark red kidney (0% moisture)",16.0
335306,"Beans, Dry, Pink (0% moisture)",16.0
335419,"Beans, Dry, Navy (0% moisture)",16.0
335422,"Beans, Dry, Light red kidney (0% moisture)",16.0
335425,"Beans, Dry, Brown (0% moisture)",16.0
335428,"Beans, Dry, Flor de mayo (0% moisture)",16.0
335433,"Beans, Dry, Carioca (0% moisture)",16.0
335442,"Beans, Dry, Tan (0% moisture)",16.0
335695,"Beans, Dry, Pinto (0% moisture)",16.0
335774,"Beans, Dry, Small red (0% moisture)",16.0
335777,"Beans, Dry, Medium red (0% moisture)",16.0
335782,"Beans, Dry, Cranberry (0% moisture)",16.0
335785,"Beans, Dry, Light tan (0% moisture)",16.0
335912,"Beans, Dry, Black (0% moisture)",16.0
335927,"Beans, Dry, Small white (0% moisture)",16.0
335930,"Beans, Dry, Red (0% moisture)",16.0
336067,"Beans, Dry, Great northern (0% moisture)",16.0
746758,"Beef, Loin, Tenderloin roast, Separable lean only, Boneless, Trimmed to 0"" fat, Select, Cooked, Roasted",13.0
746759,"Beef, Loin, Top loin steak, Boneless, Lip-on, Separable lean only, Trimmed to 1/8"" fat, Choice, Raw",13.0
746760,"Beef, Round, Eye of round roast, Boneless, Separable lean only, Trimmed to 0"" fat, Select, Raw",13.0
746761,"Beef, Round, Top round roast, Boneless, Separable lean only, Trimmed to 0"" fat, Select, Raw",13.0
746762,"Beef, Short loin, Porterhouse steak, Separable lean only, Trimmed to 1/8"" fat, Select, Raw",13.0
746763,"Beef, Short loin, T-bone steak, Bone-in, Separable lean only, Trimmed to 1/8"" fat, Choice, Cooked, Grilled",13.0
746764,"Carrots, Frozen, Unprepared",11.0
746765,"Cheese, Dry white, Queso seco",1.0
746766,"Cheese, Ricotta, Whole milk",1.0
746767,"Cheese, Swiss",1.0
746768,"Figs, Dried, Uncooked",9.0
746769,"Lettuce, Cos or romaine, Raw",11.0
746770,"Melons, Cantaloupe, Raw",9.0
746771,"Oranges, Raw, Navels",9.0
746772,"Milk, Lowfat, Fluid, 1% milkfat, With added vitamin a and vitamin d",1.0
746773,"Pears, Raw, Bartlett",9.0
746774,"Restaurant, Chinese, Sweet and sour pork",25.0
746775,"Salt, Table, Iodized",2.0
746776,"Milk, Nonfat, Fluid, With added vitamin a and vitamin d (fat free or skim)",1.0
746777,"Sauce, Salsa, Ready-to-serve",6.0
746778,"Milk, Reduced fat, Fluid, 2% milkfat, With added vitamin a and vitamin d",1.0
746779,"Sausage, Breakfast sausage, Beef, Pre-cooked, Unprepared",7.0
746780,"Sausage, Italian, Pork, Mild, Cooked, Pan-fried",7.0
746781,"Sausage, Pork, Chorizo, Link or ground, Cooked, Pan-fried",7.0
746782,"Milk, Whole, 3. 25% milkfat, With added vitamin d",1.0
746783,"Sausage, Turkey, Breakfast links, Mild, Raw",7.0
746784,"Sugars, Granulated",19.0
746785,"Turkey, Ground, 93% lean, 7% fat, Pan-broiled crumbles",5.0
746952,"Ham, Sliced, Restaurant",10.0
747429,"Cheese, American, Restaurant",1.0
747430,"Beans, Dry, Medium red (0% moisture)",16.0
747431,"Beans, Dry, Red (0% moisture)",16.0
747432,"Beans, Dry, Flor de mayo (0% moisture)",16.0
747433,"Beans, Dry, Brown (0% moisture)",16.0
747434,"Beans, Dry, Tan (0% moisture)",16.0
747435,"Beans, Dry, Light tan (0% moisture)",16.0
747436,"Beans, Dry, Carioca (0% moisture)",16.0
747437,"Beans, Dry, Cranberry (0% moisture)",16.0
747438,"Beans, Dry, Light red kidney (0% moisture)",16.0
747439,"Beans, Dry, Pink (0% moisture)",16.0
747440,"Beans, Dry, Dark red kidney (0% moisture)",16.0
747441,"Beans, Dry, Navy (0% moisture)",16.0
747442,"Beans, Dry, Small white (0% moisture)",16.0
747443,"Beans, Dry, Small red (0% moisture)",16.0
747444,"Beans, Dry, Black (0% moisture)",16.0
747445,"Beans, Dry, Pinto (0% moisture)",16.0
747446,"Beans, Dry, Great northern (0% moisture)",16.0
747447,"Broccoli, Raw",11.0
747448,"Strawberries, Raw",9.0
747693,"Ketchup, Restaurant",11.0
747997,"Eggs, Grade a, Large, Egg white",1.0
748236,"Eggs, Grade a, Large, Egg yolk",1.0
748278,"Oil, Canola",4.0
748323,"Oil, Corn",4.0
748366,"Oil, Soybean",4.0
748608,"Oil, Olive, Extra virgin",4.0
748967,"Eggs, Grade a, Large, Egg whole",1.0
749420,"Pork, Cured, Bacon, Cooked, Restaurant",10.0
789828,"Butter, Stick, Unsalted",1.0
789890,"Flour, Wheat, All-purpose, Enriched, Bleached",20.0
789951,"Flour, Wheat, All-purpose, Enriched, Unbleached",20.0
790018,"Flour, Wheat, All-purpose, Unenriched, Unbleached",20.0
790085,"Flour, Whole wheat, Unenriched",20.0
790146,"Flour, Bread, White, Enriched, Unbleached",20.0
790214,"Flour, Rice, White, Unenriched",20.0
790276,"Flour, Corn, Yellow, Fine meal, Enriched",20.0
790508,"Butter, Stick, Salted",1.0
790577,"Onions, Red, Raw",11.0
790646,"Onions, Yellow, Raw",11.0
790774,"Bananas, Overripe, Raw",9.0
790991,"Bananas, Ripe and slightly ripe, Raw",9.0
1104647,"Garlic, Raw",11.0
1104705,"Flour, Soy, Defatted",16.0
1104766,"Flour, Soy, Full-fat",16.0
1104812,"Flour, Rice, Brown",20.0
1104867,"Flour, Rice, Glutinous",20.0
1104913,"Flour, Pastry, Unenriched, Unbleached",20.0
1104962,"Onions, White, Raw",11.0
1105073,"Bananas, Overripe, Raw",9.0
1105314,"Bananas, Ripe and slightly ripe, Raw",9.0
1105430,"Apples, Red delicious, With skin, Raw",9.0
1105547,"Apples, Honeycrisp, With skin, Raw",9.0
1105664,"Apples, Granny smith, With skin, Raw",9.0
1105781,"Apples, Gala, With skin, Raw",9.0
1105897,"Apples, Fuji, With skin, Raw",9.0
1750337,"Soy milk, Unsweetened, Plain, Shelf stable",16.0
1750338,"Almond milk, Unsweetened, Plain, Shelf stable",14.0
1750339,"Apples, Red delicious, With skin, Raw",9.0
1750340,"Apples, Fuji, With skin, Raw",9.0
1750341,"Apples, Gala, With skin, Raw",9.0
1750342,"Apples, Granny smith, With skin, Raw",9.0
1750343,"Apples, Honeycrisp, With skin, Raw",9.0
1750344,"Mushroom, Lion's mane",11.0
1750345,"Mushroom, Oyster",11.0
1750346,"Mushrooms, Shiitake",11.0
1750347,"Mushrooms, White button",11.0
1750348,"Oil, Peanut",4.0
1750349,"Oil, Sunflower",4.0
1750350,"Oil, Safflower",4.0
1750351,"Oil, Olive, Extra light",4.0
1750352,"Spinach, Baby",11.0
1750353,"Spinach, Mature",11.0
1750354,"Tomato, Roma",11.0
1999626,"Mushroom, Lion's mane",11.0
1999627,"Mushroom, Oyster",11.0
1999628,"Mushrooms, Shiitake",11.0
1999629,"Mushrooms, White button",11.0
1999630,"Soy milk, Unsweetened, Plain, Shelf stable",16.0
1999631,"Almond milk, Unsweetened, Plain, Shelf stable",14.0
1999632,"Spinach, Baby",11.0
1999633,"Spinach, Mature",11.0
1999634,"Tomato, Roma",11.0
2003586,"Flour, 00",20.0
2003587,"Flour, Spelt, Whole grain",20.0
2003588,"Flour, Semolina, Coarse and semi-coarse",20.0
2003589,"Flour, Semolina, Fine",20.0
2003590,"Apple juice, With added vitamin c, From concentrate, Shelf stable",9.0
2003591,"Orange juice, No pulp, Not fortified, From concentrate, Refrigerated",9.0
2003592,"Grape juice, Purple, With added vitamin c, From concentrate, Shelf stable",9.0
2003593,"Grape juice, White, With added vitamin c, From concentrate, Shelf stable",9.0
2003594,"Cranberry juice, Not fortified, From concentrate, Shelf stable",9.0
2003595,"Grapefruit juice, Red, Not fortified, Not from concentrate, Refrigerated",9.0
2003596,"Tomato juice, With added ingredients, From concentrate, Shelf stable",11.0
2003597,"Orange juice, No pulp, Not fortified, Not from concentrate, Refrigerated",9.0
2003598,"Mushroom, Portabella",11.0
2003599,"Mushroom, King oyster",11.0
2003600,"Mushroom, Enoki",11.0
2003601,"Mushroom, Crimini",11.0
2003602,"Mushroom, Maitake",11.0
2003603,"Mushroom, Beech",11.0
2003604,"Mushroom, Pioppini",11.0
2257044,"Soy milk, Sweetened, Plain, Refrigerated",16.0
2257045,"Almond milk, Unsweetened, Plain, Refrigerated",14.0
2257046,"Oat milk, Unsweetened, Plain, Refrigerated",14.0
2258586,"Carrots, Mature, Raw",11.0
2258587,"Carrots, Baby, Raw",11.0
2258588,"Peppers, Bell, Green, Raw",11.0
2258589,"Peppers, Bell, Yellow, Raw",11.0
2258590,"Peppers, Bell, Red, Raw",11.0
2258591,"Peppers, Bell, Orange, Raw",11.0
2259792,"Buttermilk, Low fat",1.0
2259793,"Yogurt, Plain, Whole milk",1.0
2259794,"Yogurt, Greek, Plain, Whole milk",1.0
2259795,"Cheese, Parmesan, Grated, Refrigerated",1.0
2259796,"Cheese, Feta, Whole milk, Crumbled",1.0
2261420,"Flour, Almond",12.0
2261421,"Flour, Oat, Whole grain",20.0
2261422,"Flour, Potato",11.0
2262072,"Peanut butter, Creamy",16.0
2262073,"Sesame butter, Creamy",12.0
2262074,"Almond butter, Creamy",12.0
2262075,"Flaxseed, Ground",12.0
2263887,"Strawberries, Raw",9.0
2263888,"Raspberries, Raw",9.0
2263889,"Blueberries, Raw",9.0
2263890,"Grapes, Red, Seedless, Raw",9.0
2263891,"Grapes, Green, Seedless, Raw",9.0
2263892,"Applesauce, Unsweetened, With added vitamin c",9.0
2346384,"Cottage cheese, Full fat, Large or small curd",1.0
2346385,"Cream cheese, Full fat, Block",1.0
2346386,"Cream, Heavy",1.0
2346387,"Cream, Sour, Full fat",1.0
2346388,"Lettuce, Iceberg, Raw",11.0
2346389,"Lettuce, Romaine, Green, Raw",11.0
2346390,"Lettuce, Leaf, Red, Raw",11.0
2346391,"Lettuce, Leaf, Green, Raw",11.0
2346392,"Nuts, Pine nuts, Raw",12.0
2346393,"Nuts, Almonds, Whole, Raw",12.0
2346394,"Nuts, Walnuts, English, Halves, Raw",12.0
2346395,"Nuts, Pecans, Halves, Raw",12.0
2346396,"Oats, Whole grain, Rolled, Old fashioned",20.0
2346397,"Oats, Whole grain, Steel cut",20.0
2346398,"Pineapple, Raw",9.0
2346399,"Cherries, Sweet, Dark red, Raw",9.0
2346400,"Beans, Snap, Green, Raw",11.0
2346401,"Potatoes, Russet, Without skin, Raw",11.0
2346402,"Potatoes, Red, Without skin, Raw",11.0
2346403,"Potatoes, Gold, Without skin, Raw",11.0
2346404,"Sweet potatoes, Orange flesh, Without skin, Raw",11.0
2346405,"Celery, Raw",11.0
2346406,"Cucumber, With peel, Raw",11.0
2346407,"Cabbage, Green, Raw",11.0
2346408,"Cabbage, Red, Raw",11.0
2346409,"Strawberries, Raw",9.0
2346410,"Raspberries, Raw",9.0
2346411,"Blueberries, Raw",9.0
2346412,"Grapes, Red, Seedless, Raw",9.0
2346413,"Grapes, Green, Seedless, Raw",9.0
2346414,"Applesauce, Unsweetened, With added vitamin c",9.0
2512371,"Flour, Amaranth",20.0
2512372,"Flour, Quinoa",20.0
2512373,"Flour, Sorghum",20.0
2512374,"Flour, Buckwheat",20.0
2512375,"Flour, Rye",20.0
2512376,"Flour, Barley",20.0
2512377,"Flour, Cassava",11.0
2512378,"Buckwheat, Whole grain",20.0
2512379,"Millet, Whole grain",20.0
2512380,"Rice, Brown, Long grain, Unenriched, Raw",20.0
2512381,"Rice, White, Long grain, Unenriched, Raw",20.0
2514743,"Beef, Ground, 90% lean meat / 10% fat, Raw",13.0
2514744,"Beef, Ground, 80% lean meat / 20% fat, Raw",13.0
2514745,"Pork, Ground, Raw",10.0
2514746,"Chicken, Ground, With additives, Raw",5.0
2514747,"Turkey, Ground, 93% lean/ 7% fat, Raw",5.0
2515373,"Nuts, Brazilnuts, Raw",12.0
2515374,"Nuts, Cashew nuts, Raw",12.0
2515375,"Nuts, Hazelnuts or filberts, Raw",12.0
2515376,"Peanuts, Raw",16.0
2515377,"Flour, Chestnut",12.0
2515378,"Nuts, Macadamia nuts, Raw",12.0
2515379,"Nuts, Pistachio nuts, Raw",12.0
2515380,"Seeds, Pumpkin seeds (pepitas), Raw",12.0
2515381,"Seeds, Sunflower seed, Kernel, Raw",12.0
2515382,"Flour, Coconut",12.0
2644281,"Beans, Cannellini, Dry",16.0
2644282,"Chickpeas, (garbanzo beans, Bengal gram), Dry",16.0
2644283,"Lentils, Dry",16.0
2644284,"Blackeye pea, Dry",16.0
2644285,"Beans, Black, Canned, Sodium added, Drained and rinsed",16.0
2644286,"Beans, Navy, Canned, Sodium added, Drained and rinsed",16.0
2644287,"Beans, Cannellini, Canned, Sodium added, Drained and rinsed",16.0
2644288,"Chickpeas (garbanzo beans, Bengal gram), Canned, Sodium added, Drained and rinsed",16.0
2644289,"Beans, Kidney, Dark red, Canned, Sodium added, Sugar added, Drained and rinsed",16.0
2644290,"Beans, Kidney, Light red, Canned, Sodium added, Sugar added, Drained and rinsed",16.0
2644291,"Peas, Green, Sweet, Canned, Sodium added, Sugar added, Drained and rinsed",11.0
2644292,"Beans, Pinto, Canned, Sodium added, Drained and rinsed",16.0
2644293,"Blackeye pea, Canned, Sodium added, Drained and rinsed",16.0
2644294,"Beans, Great northern, Canned, Sodium added, Drained and rinsed",16.0
2646168,"Pork, Loin, Boneless, Raw",10.0
2646169,"Pork, Loin, Tenderloin, Boneless, Raw",10.0
2646170,"Chicken, Breast, Boneless, Skinless, Raw",5.0
2646171,"Chicken, Thigh, Boneless, Skinless, Raw",5.0
2646172,"Beef, Ribeye, Steak, Boneless, Choice, Raw",13.0
2646173,"Beef, Round, Top round, Boneless, Choice, Raw",13.0
2646174,"Beef, Chuck, Roast, Boneless, Choice, Raw",13.0
2646175,"Beef, Flank, Steak, Boneless, Choice, Raw",13.0
2647437,"Yogurt, Plain, Nonfat",1.0
2647438,"Cheese, Monterey jack, Solid",1.0
2647439,"Cheese, Pasteurized process cheese food or product, American, Singles",1.0
2647440,"Cheese, Provolone, Sliced",1.0
2647441,"Cheese, Oaxaca, Solid",1.0
2647442,"Cheese, Queso fresco, Solid",1.0
2647443,"Cheese, Cotija, Solid",1.0
2684440,"Fish, Salmon, Sockeye, Wild caught, Raw",15.0
2684441,"Fish, Salmon, Atlantic, Farm raised, Raw",15.0
2684442,"Fish, Tilapia, Farm raised, Raw",15.0
2684443,"Crustaceans, Shrimp, Farm raised, Raw",15.0
2684444,"Fish, Cod, Atlantic, Wild caught, Raw",15.0
2684445,"Fish, Catfish, Farm raised, Raw",15.0
2684446,"Crustaceans, Crab, Blue swimming, Lump, Pasteurized, Refrigerated",15.0
2685568,"Squash, Summer, Green, Zucchini, Includes skin, Raw",11.0
2685569,"Squash, Summer, Yellow, Includes skin, Raw",11.0
2685570,"Squash, Winter, Butternut, Raw",11.0
2685571,"Squash, Winter, Acorn, Raw",11.0
2685572,"Cabbage, Bok choy, Raw",11.0
2685573,"Cauliflower, Raw",11.0
2685574,"Collards, Raw",11.0
2685575,"Brussels sprouts, Raw",11.0
2685576,"Beets, Raw",11.0
2685577,"Eggplant, Raw",11.0
2685578,"Tomatoes, Whole, Canned, Solids and liquids, With salt added",11.0
2685579,"Tomato, Sauce, Canned, With salt added",11.0
2685580,"Tomato, Paste, Canned, Without salt added",11.0
2685581,"Tomatoes, Crushed, Canned",11.0
2685582,"Tomato, Puree, Canned",11.0
2710815,"Apricot, With skin, Raw",9.0
2710816,"Melons, Honeydew, Raw",9.0
2710817,"Plantains, Ripe, Raw",9.0
2710818,"Plantains, Underripe, Raw",9.0
2710819,"Chia seeds, Dry, Raw",20.0
2710820,"Bulgur, Dry, Raw",20.0
2710821,"Wild rice, Dry, Raw",20.0
2710822,"Arugula, Baby, Raw",11.0
2710823,"Asparagus, Green, Raw",11.0
2710824,"Avocado, Hass, Peeled, Raw",9.0
2710825,"Rice, Black, Unenriched, Raw",20.0
2710826,"Corn, Sweet, Yellow and white kernels, Fresh, Raw",11.0
2710827,"Einkorn, Grain, Dry, Raw",20.0
2710828,"Farro, Pearled, Dry, Raw",20.0
2710829,"Fonio, Grain, Dry, Raw",20.0
2710830,"Khorasan, Grain, Dry, Raw",20.0
2710831,"Kiwifruit (kiwi), Green, Peeled, Raw",9.0
2710832,"Mandarin, Seedless, Peeled, Raw",9.0
2710833,"Mango, Tommy atkins, Peeled, Raw",9.0
2710834,"Mango, Ataulfo, Peeled, Raw",9.0
2710835,"Corn flour, Masa harina, White or yellow, Dry, Raw",20.0
2710836,"Pear, Anjou, Green, With skin, Raw",9.0
2710837,"Plum, Black, With skin, Raw",9.0
2710838,"Rice, Red, Unenriched, Dry, Raw",20.0
2710839,"Sorghum bran, White, Unenriched, Dry, Raw",20.0
2710840,"Sorghum flour, White, Pearled, Unenriched, Dry, Raw",20.0
2710841,"Sorghum grain, White, Pearled, Unenriched, Dry, Raw",20.0
2710842,"Sorghum, Whole grain, White, Dry, Raw",20.0
2710843,"Plantains, Overripe, Raw",9.0
2727566,"Chicken, Drumstick, Meat and skin, Raw",5.0
2727567,"Chicken, Thigh, Meat and skin, Raw",5.0
2727568,"Chicken, Wing, Meat and skin, Raw",5.0
2727569,"Chicken, Breast, Meat and skin, Raw",5.0
2727570,"Lamb, Ground, Raw",17.0
2727571,"Bison, Ground, Raw",17.0
2727572,"Beef, Short loin (ny strip steak), Raw",13.0
2727573,"Beef, Tenderloin steak, Raw",13.0
2727574,"Beef, Top sirloin steak, Raw",13.0
2727575,"Pork, Chop, Center cut, Raw",10.0
2727576,"Pork, Belly, With skin, Raw",10.0
2727577,"Pawpaw, Peeled, Seeded, Raw",9.0
2727578,"Squash, Pie pumpkin, Peeled, Seeded, Raw",11.0
2727579,"Squash, Spaghetti, Peeled, Seeded, Raw",11.0
2727580,"Rutabaga, Peeled, Raw",11.0
2727581,"Blackberries, Raw",9.0
2727582,"Tomatillos, Dehusked, Raw",11.0
2727583,"Cabbage, Napa, Leaf, Destemmed, Raw",11.0
2727584,"Leeks, Bulb and greens, Root removed, Raw",11.0
2727585,"Green onion, (scallion), Bulb and greens, Root removed, Raw",11.0
2727586,"Shallots, Bulb, Peeled, Root removed, Raw",11.0
2727587,"Juice, Prune, Shelf-stable",9.0
2727588,"Juice, Pomegranate, From concentrate, Shelf-stable",9.0
2727589,"Juice, Tart cherry, From concentrate, Shelf-stable",9.0
